,comment,date
2428,"will close +- 50points only
","Jan 14, 2019 9:39AM ET"
2429,"Carnage
","Jan 14, 2019 9:32AM ET"
2430,"profit booking.
","Jan 14, 2019 9:27AM ET"
2431,"this year Dow will go below 20000:(:(
","Jan 13, 2019 9:19PM ET"
2432,"23960
","Jan 13, 2019 5:54PM ET"
2433,"Let's see how the week goes. Let's make money people let's make money
","Jan 13, 2019 5:15PM ET"
2434,"Hi
","Jan 13, 2019 3:51PM ET"
2435,"White House Asked the Pentagon for Options to Strike Iran, WSJ Says
","Jan 13, 2019 2:26PM ET"
2436,"i think uptrend
","Jan 13, 2019 7:21AM ET"
2437,"Short 23990 Tp 22000 Sl. 24500
","Jan 12, 2019 10:56AM ET"
2438,"Test
","Jan 12, 2019 10:27AM ET"
2439,"Will gap down on manday
","Jan 12, 2019 6:55AM ET"
2440,"Probably another 1000 pips up... before a new Lower High is established.
","Jan 12, 2019 3:53AM ET"
2441,"L and L show
","Jan 11, 2019 4:31PM ET"
2442,"See also the VIX. The market appetite improved
","Jan 11, 2019 2:24PM ET"
2443,"this rally is really long in the tooth. earnings next week will be the catalyst that either breaks down this huge bearish wedge or breaks it out to the upside. My bets are down.
","Jan 11, 2019 2:18PM ET"
2444,"agreed no volume
","Jan 11, 2019 1:51PM ET"
2445,"no volume
","Jan 11, 2019 1:40PM ET"
2446,"Bear trap
","Jan 11, 2019 1:10PM ET"
2447,"My my... how quickly permabulls forget the December meltdown. Guess what... NOTHING’S CHANGED. Tariffs are STILL alive.
","Jan 11, 2019 1:08PM ET"
2448,"all set for crash just wait for a trigger
","Jan 11, 2019 1:03PM ET"
2449,"Bear trap
","Jan 11, 2019 12:55PM ET"
2450,"Should drift upwards algo power.
","Jan 11, 2019 12:54PM ET"
2451,"Check ""Aurora Cannabis"" rocket!
","Jan 11, 2019 12:34PM ET"
2452,"no volume
","Jan 11, 2019 12:19PM ET"
2453,"just closing the gap then go down again...
","Jan 11, 2019 12:08PM ET"
2454,"just closing the gap...
","Jan 11, 2019 12:07PM ET"
2455,"volume has been crazy low since the beginning of the year. algos in charge.
","Jan 11, 2019 12:06PM ET"
2456,"mà nếu long hay short nhớ phải báo trước nhá đừng chơi flash cash anh đau tim lắm
","Jan 11, 2019 11:54AM ET"
2457,"ok các chú short mạnh vào cho anh, anh còn buy gold
","Jan 11, 2019 11:53AM ET"
2458,"I bet it will close above 24100.
","Jan 11, 2019 11:49AM ET"
2459,"People think that moneyprinting and loantaking can go on forever. we are told that stock prices can be propped up with that money
","Jan 11, 2019 11:31AM ET"
2460,"remember 2018 sell sell
","Jan 11, 2019 11:29AM ET"
2461,"This market is 100% rigged.
","Jan 11, 2019 11:18AM ET"
2462,"this graphic is a lie.. they mimic theres no crash
","Jan 11, 2019 10:39AM ET"
2463,"Here they come... The PPT
","Jan 11, 2019 9:43AM ET"
2464,"wats ppt?
","Jan 11, 2019 9:39AM ET"
2465,"Its market manipulation time... PPT are in the house... muhahahhahah
","Jan 11, 2019 9:05AM ET"
2466,"Based on volume, it looks like traders tuned out after the retracement following Fed chairman's comments. Barring any other fake news hype, the DOW is tanking soon.
","Jan 10, 2019 7:14PM ET"
2467,"30,000 then 50,000 Big deal coming. Resetting trade monetary and financial dealings. Trump and Xi will bring forth a decades defining agreement.
","Jan 10, 2019 6:18PM ET"
2468,"buy stocks with peace of mind - they're insured by the federal government. but for gods sake don't don't sell for years . The rich boys are the ony ones to know exactly when to buy and sell. if you try it you  will be chewed up and spit out,     Greatest t...Show more
","Jan 10, 2019 5:11PM ET"
2469,"They are trying to tag the 50 day moving averages on all the indexes.
","Jan 10, 2019 4:55PM ET"
2470,"when the dowjones will open again?
","Jan 10, 2019 4:18PM ET"
2471,"no volume means no strength
","Jan 10, 2019 4:16PM ET"
2472,"is a good day for me
","Jan 10, 2019 4:13PM ET"
2473,"wow this close value looks like draw with the finger, is so fake!! there is no volume.
","Jan 10, 2019 4:11PM ET"
2474,"this nonsense nothingburger will crash sooner rather than later
","Jan 10, 2019 4:05PM ET"
2475,"46 cents away from 24000
","Jan 10, 2019 4:03PM ET"
2476,"%here is  no reason but moved high.
","Jan 10, 2019 4:00PM ET"
2477,"Bravo 24k and now what? :))
","Jan 10, 2019 3:47PM ET"
2478,"A surprise bull run on Friday, followed by some short covering rally next week?
","Jan 10, 2019 3:39PM ET"
2479,"23970 is trigar point up side if cross 23970 next 24290
","Jan 10, 2019 2:54PM ET"
2480,"Total U.S. debt is about $21.9 trillion, of which $16 trillion is owed by the public. The sustained annual U.S. deficit is now believed to be more than $1 trillion
","Jan 10, 2019 2:52PM ET"
2481,"Dow will never see above 24300 again
","Jan 10, 2019 2:38PM ET"
2482,"If JP’s speech was everything the market wanted to hear... why hasnt the market taken off...
","Jan 10, 2019 2:35PM ET"
2483,"Putting another lance in the neck of this bull... Olé!
","Jan 10, 2019 2:34PM ET"
2484,"I found a law for gold, if Thursday afternoon low, Friday will be High.. Dow will fall tomorrow
","Jan 10, 2019 2:30PM ET"
2485,"Substantial reduction in the balance sheet will be more important than rate hikes
","Jan 10, 2019 2:09PM ET"
2486,"PPT is fully employed these days
","Jan 10, 2019 2:09PM ET"
2487,"fake news time to burn
","Jan 10, 2019 1:28PM ET"
2488,"well this is a lot of fun!
","Jan 10, 2019 1:22PM ET"
2489,"About to notice steep fall after the US - China trade talks.
","Jan 10, 2019 1:12PM ET"
2490,"lets go burn the house down
","Jan 10, 2019 1:07PM ET"
2491,"like I said, he cant say anything more dovish than he already has.
","Jan 10, 2019 1:06PM ET"
2492,"Market facts are not adding up to be green day....Trump team keeping the market up with fake NEWS.
","Jan 10, 2019 1:04PM ET"
2493,"com'on powel, nice one for the bulls. thanks . !
","Jan 10, 2019 12:52PM ET"
2494,"Powel is an open Q&amp;A he starting now
","Jan 10, 2019 12:46PM ET"
2495,"can't break 24k
","Jan 10, 2019 12:44PM ET"
2496,"Fed Bullard speaking now
","Jan 10, 2019 12:40PM ET"
2497,"Watch how they take gibberish that Powell says and interpret it as dovish and Market spikes up a few hundred LOL
","Jan 10, 2019 12:39PM ET"
2498,"Fed Powel about to speak at he Economic Club of Washington within next 10 mins.    May get some movement , watch out
","Jan 10, 2019 12:38PM ET"
2499,"Just Wait over night 23700
","Jan 10, 2019 12:34PM ET"
2500,"Rigged Market fake rally
","Jan 10, 2019 12:31PM ET"
2501,"Retail ****housing ****no deal with China yet government shutdown of course Market will take off LOL
","Jan 10, 2019 12:26PM ET"
2502,"philip cooper you trader news is out
","Jan 10, 2019 12:25PM ET"
2503,"The Twilight Jones where no news is good news bad news is good news and good news is good news
","Jan 10, 2019 12:21PM ET"
2504,"target 23,500 Tomorrow. Will trend soon!
","Jan 10, 2019 12:21PM ET"
2505,"Market maker controls everything
","Jan 10, 2019 12:17PM ET"
2506,"Putting this bull out of its misery. Easy now, just let go. It's okay... let go...
","Jan 10, 2019 12:14PM ET"
2507,"The fall has begun
","Jan 10, 2019 12:05PM ET"
2508,"There is no reason for green zone. 23500 is just away
","Jan 10, 2019 12:01PM ET"
2509,"Watch out for my friends, they are awesome.
","Jan 10, 2019 11:59AM ET"
2510,"hahaha rallying for Powell. he cant say anything more dovish than he has already said. time go short this thing.
","Jan 10, 2019 11:54AM ET"
2511,"why cross 24000++?
","Jan 10, 2019 11:51AM ET"
2512,"india time
","Jan 10, 2019 11:38AM ET"
2513,"dow close time
","Jan 10, 2019 11:38AM ET"
2514,"Jus by this Market and don't think much and set stop loss of 23500 for the target of 25000.
","Jan 10, 2019 11:34AM ET"
2515,"it may or may not.. . too late to buy and too early to sell.
","Jan 10, 2019 11:32AM ET"
2516,"Going down? hehe
","Jan 10, 2019 11:26AM ET"
2517,"Short every index tommorow
","Jan 10, 2019 11:22AM ET"
2518,"Dow was just flexing its muscles
","Jan 10, 2019 10:51AM ET"
2519,"today Dow cross 24000++
","Jan 10, 2019 10:39AM ET"
2520,"All long now?
","Jan 10, 2019 10:39AM ET"
2521,"28844 gap fill up now mag reverse
","Jan 10, 2019 10:34AM ET"
2522,"will hit 23860 shortly
","Jan 10, 2019 10:28AM ET"
2523,"will hit 23860 shortly
","Jan 10, 2019 10:28AM ET"
2524,"The cat died :)
","Jan 10, 2019 10:03AM ET"
2525,"short-term 1st target: 23300
","Jan 10, 2019 9:38AM ET"
2526,"dow will be running soon
","Jan 10, 2019 9:16AM ET"
2527,"@24050 , there is a big resistance , be cautious
","Jan 10, 2019 5:52AM ET"
2528,"make green peeps
","Jan 10, 2019 1:09AM ET"
2529,"DOW manually close 23733 (unless you are brave) I speculate a better buy at lower value. Head and shoulder pattern 4h. Currently at the top. *** possibly this could revert to the upside event bearish. Watch gap at 22300 if it rejects or not. *
","Jan 10, 2019 1:08AM ET"
2530,"Trump giving you a chance to bail before it all to ********as this is a decade long fight for structural changes. Chinese buying more Soy Bean and auto parts is nothing, they already doing that they just buying more time by making up promises until one day...Show more
","Jan 09, 2019 11:48PM ET"
2531,"American choose, Cause you need trump all world effect faster
","Jan 09, 2019 6:33PM ET"
2532,"Still saying bull bear market? It's Trump market
","Jan 09, 2019 3:57PM ET"
2533,"one thing is sure, this stock market has nothing to do with economy. trump said three years ago before elections that the stock are is ugly fat bubble. today the bubble is twice the size and politicians just try to keep is going and postpone crash before e...Show more
","Jan 09, 2019 3:25PM ET"
2534,"bear market rally
","Jan 09, 2019 3:19PM ET"
2535,"24k today please ☺
","Jan 09, 2019 3:13PM ET"
2536,"up tomorrow as well then big down on Friday
","Jan 09, 2019 3:01PM ET"
2537,"Any view on trade deal
","Jan 09, 2019 2:44PM ET"
2538,"It's kind of surreal where markets go up because Fed realizes the global economy is standing one foot off a very high cliff. Bad news is good news lol
","Jan 09, 2019 2:40PM ET"
2539,"fallstreet you trader your comment is out
","Jan 09, 2019 2:39PM ET"
2540,"Nobody ever thinks they are in a bear market until they are in one lol. Fed priced in, china trade talks big nothing burger. This thinly traded low volume rising wedge is very overdue for a breakdown.
","Jan 09, 2019 2:38PM ET"
2541,"...and it's not because of the FED... Powell has done as much as possible to keep the market intact
","Jan 09, 2019 2:33PM ET"
2542,"then 21270, 20400
","Jan 09, 2019 2:26PM ET"
2543,"next stop 23190
","Jan 09, 2019 2:25PM ET"
2544,"computer algo said sell everything and it starting
","Jan 09, 2019 2:25PM ET"
2545,"enjoy the ride
","Jan 09, 2019 2:24PM ET"
2546,"I feel like we are all playing mountain climber on the price is right....
","Jan 09, 2019 2:24PM ET"
2547,"5th impulsive wave in a downtrend is underway
","Jan 09, 2019 2:22PM ET"
2548,"this is sicky
","Jan 09, 2019 2:21PM ET"
2549,"Algo kidaleeeee
","Jan 09, 2019 2:19PM ET"
2550,"ponzi falls
","Jan 09, 2019 2:16PM ET"
2551,"hyperinflation vs continuous interest rate hike. which would be less painful?
","Jan 09, 2019 2:01PM ET"
2552,"Its going to keep going up until it doesn't. Then it will fall. Money will be made in both directions but sadly not by us
","Jan 09, 2019 1:53PM ET"
2553,"Trump won't let Fed to have tight monetary policy. Trump already said to buy stocks and we all know that President has credibility. Don't listen to anyone. Market is poised to go high. If it falls that should be considered as great opportunity.
","Jan 09, 2019 1:46PM ET"
2554,"This rising wedge in the dow looks very mature right now. Like a big Zit ready to be squeezed
","Jan 09, 2019 1:24PM ET"
2555,"when people are expecting a drop, the market won't drop because people are already cautious enough to enter the market and have already priced in the drop. and when the last one standing changing his view and put his money into the market, that's when the ...Show more
","Jan 09, 2019 1:07PM ET"
2556,"+sign. Going down to 23640 today
","Jan 09, 2019 1:04PM ET"
2557,"joker you trader comment is out
","Jan 09, 2019 12:55PM ET"
2558,"Maybe algos will be allowed to vote in 2020
","Jan 09, 2019 12:54PM ET"
2559,"its called latency arbitrage, just a fact of life.  everyone understands retail traders receive the market price data well after HFT's.  1-2 second delay.
","Jan 09, 2019 12:54PM ET"
2560,"Nasdaq Trade Halt Volatility Trading Pause Today... Suspicious.....  Once that happened the market reversed course. reported on Reuters... 5:12PM GMT...
","Jan 09, 2019 12:19PM ET"
2561,"it was the  algo
","Jan 09, 2019 12:08PM ET"
2562,"what was that?
","Jan 09, 2019 11:54AM ET"
2563,"200 points jump?
","Jan 09, 2019 11:49AM ET"
2564,"trade talks were a big nothing burger based on the joint statement released.
","Jan 09, 2019 11:48AM ET"
2565,"I anit stock until correct values return... comission hungry distributours.
","Jan 09, 2019 11:32AM ET"
2566,"no récession
","Jan 09, 2019 11:19AM ET"
2567,"WSJ on latest disappointing US-China trade meeting: ""the two sides remain divided on knottier issues including a reduction of Chinese subsidies to domestic firms and protection of intellectual property, and a resolution still needs to be hammered out. ""
","Jan 09, 2019 11:19AM ET"
2568,"FOMC MEETING MINUTES WILL SHOOT MARKETS TO 25000. Stay long as I said earlier as well with a stoploss of 23500.
","Jan 09, 2019 11:15AM ET"
2569,"The latest German Industrial Production growth report was NEGATIVE -4.7% y/y
","Jan 09, 2019 11:06AM ET"
2570,"I like to pull back when I finish my bull market. When I do I'm usually bare ish.
","Jan 09, 2019 10:55AM ET"
2571,"S &amp; P Diving into reed, death sign for oil bulls
","Jan 09, 2019 10:45AM ET"
2572,"Bear just rings the door bell of NYSE!
","Jan 09, 2019 10:42AM ET"
2573,"oil is hot
","Jan 09, 2019 10:40AM ET"
2574,"Here comes algo power... the latest algo built using the finest soybean.
","Jan 09, 2019 10:37AM ET"
2575,"Go short
","Jan 09, 2019 10:31AM ET"
2576,"top head and shoulder...15 minutes...
","Jan 09, 2019 10:25AM ET"
2577,"Dow intraday Sell - close below 23773
","Jan 09, 2019 10:21AM ET"
2578,"dead cat bounce?
","Jan 09, 2019 10:08AM ET"
2579,"Dow will correct 1500 points more from 24000
","Jan 09, 2019 9:59AM ET"
2580,"24000 and 24300 i a strong resistant i think it is a frist stop
","Jan 09, 2019 9:54AM ET"
2581,"hello guys kindly confirm Us stock market get fall or not??
","Jan 09, 2019 9:33AM ET"
2582,"24 k it is the point which change th trendlook at carefully
","Jan 09, 2019 9:32AM ET"
2583,"us stock market  fall again???
","Jan 09, 2019 9:15AM ET"
2584,"23k is coming
","Jan 09, 2019 6:25AM ET"
2585,"Trade talk end with another talk feast let the sell off begins
","Jan 09, 2019 5:14AM ET"
2586,"This is a long multi month consolidation albeit with decent swings. It places its base at 25,000 and when its done it doubles as a target to 50,000
","Jan 09, 2019 5:10AM ET"
2587,"maksimum 25,000minimum 2,4500
","Jan 09, 2019 12:38AM ET"
2588,"maximum tommarow 24,000 minimum 23650
","Jan 08, 2019 11:12PM ET"
2589,"Yields are coming up, this rally will be short lived.
","Jan 08, 2019 6:57PM ET"
2590,"tommarow 23730-23840
","Jan 08, 2019 6:07PM ET"
2591,"Heading to 30,000 then 50,000 Big decades making bull run and commodities run deal coming. Trump and Xi set scene for reboot in trade money and finance.
","Jan 08, 2019 3:51PM ET"
2592,"JUst nned to wait
","Jan 08, 2019 3:47PM ET"
2593,"There just isnt any conviction in this rally, and a pullback is coming very soon.
","Jan 08, 2019 3:44PM ET"
2594,"Crazy ...RIP sellers.
","Jan 08, 2019 3:37PM ET"
2595,"I dont understand the dummys that keep investing at the moment.
","Jan 08, 2019 3:33PM ET"
2596,"out of steam... even with Fed support last week, should rally but... Free fall is comming, fasten your seatbelts. Short only!
","Jan 08, 2019 3:17PM ET"
2597,"will close 23850 plus
","Jan 08, 2019 3:11PM ET"
2598,"bull impact start now
","Jan 08, 2019 3:10PM ET"
2599,"time to short
","Jan 08, 2019 2:27PM ET"
2600,"It will be back to 23000 just 3 days
","Jan 08, 2019 2:04PM ET"
2601,"Dow jones going strong 23780. reco at 23532.
","Jan 08, 2019 2:01PM ET"
2602,"Wash Trading on BEARish Tech news much?
","Jan 08, 2019 1:45PM ET"
2603,"has to be the lowest volume day yet.
","Jan 08, 2019 12:41PM ET"
2604,"will it cross day high?
","Jan 08, 2019 12:01PM ET"
2605,"Danger Sign. Today will close between 23390-23430
","Jan 08, 2019 11:51AM ET"
2606,"Dow 22670 Support 23490 Nasdaq 6840 Support 6736 S&amp;P. 2557 Support 2498more chance to break support
","Jan 08, 2019 11:34AM ET"
2607,"Guys, is this a good time to get out before earnings and earnings guidance trigger the next leg down come Monday when earnings season starts?
","Jan 08, 2019 10:35AM ET"
2608,"Imposible cross 24k!
","Jan 08, 2019 10:29AM ET"
2609,"Need a new trusted broker. Can you help? ETX killed me off
","Jan 08, 2019 10:25AM ET"
2610,"Dow jumps
","Jan 08, 2019 10:22AM ET"
2611,"Dow jumps
","Jan 08, 2019 10:22AM ET"
2612,"correction 1st target 23000 , next 21000
","Jan 08, 2019 10:18AM ET"
2613,"dow won't go any further than that without downward correction.
","Jan 08, 2019 9:58AM ET"
2614,"pullback is due.
","Jan 08, 2019 9:50AM ET"
2615,"Nothing is firm. Wait for trade talks update and trump prime time address for a clearer direction
","Jan 08, 2019 9:49AM ET"
2616,"Today cross 24k???
","Jan 08, 2019 9:32AM ET"
2617,"T 2405
","Jan 08, 2019 9:11AM ET"
2618,"Today minimum 2% Up
","Jan 08, 2019 9:01AM ET"
2619,"Today minimum 2% UP possible !!!
","Jan 08, 2019 9:00AM ET"
2620,"Hi there we have great secrets in the world of digital currencies there is huge money may enter the currency Apollo soon and there are some investors inside sell in very large quantities may be the amount of $ 1 billion or more selling sell ??? The bet may...Show more
","Jan 08, 2019 8:49AM ET"
2621,"Why are we here, do not continue to penalize 800,000 federal employees. Let him do what he said, declare a national emergency, let these employees go back to work and move on.
","Jan 08, 2019 7:57AM ET"
2622,"The dealmaker in chief should understand it is apparent no deal!!!! can be made between the democrats, republicans and the Whitehouse on this 5 billion dollar wall. Why are we here, do not continue to penalize 800,000 federal employees. Let him do what he ...Show more
","Jan 08, 2019 7:56AM ET"
2623,"I think Not much people are trading Dow. Not much discussion.
","Jan 08, 2019 6:26AM ET"
2624,"Heading 30,000 then 50,000
","Jan 08, 2019 3:26AM ET"
2625,"Heading 30,000 then 50,000
","Jan 08, 2019 3:26AM ET"
2626,"Doubling down on DXD at 23,750 ish in preparation for further decline.
","Jan 08, 2019 2:28AM ET"
2627,"tommarow goal 23550-23750
","Jan 07, 2019 7:57PM ET"
2628,"Bear stew with cheese and crackers
","Jan 07, 2019 3:35PM ET"
2629,"where is the volume?
","Jan 07, 2019 3:29PM ET"
2630,"those who need Dow futures call.. comment below.. good return per month
","Jan 07, 2019 2:42PM ET"
2631,"volume up
","Jan 07, 2019 2:33PM ET"
2632,"volume up
","Jan 07, 2019 2:33PM ET"
2633,"volume up
","Jan 07, 2019 2:27PM ET"
2634,"all socks go to treasury
","Jan 07, 2019 1:46PM ET"
2635,"volume non existant.
","Jan 07, 2019 1:17PM ET"
2636,"Looks that way.
","Jan 07, 2019 1:17PM ET"
2637,"rally may continue till 24,050
","Jan 07, 2019 1:14PM ET"
2638,"jokers you trader
","Jan 07, 2019 12:16PM ET"
2639,"Just wait..24000 will come..
","Jan 07, 2019 11:53AM ET"
2640,"will go upto 24300 and than 20k
","Jan 07, 2019 11:51AM ET"
2641,"Lets pump up some fake news... meanwhile US-Sino delegation have got high in afghan greens straight from the tree, delivered by the belt road...
","Jan 07, 2019 11:33AM ET"
2642,"Full Access please... nothing less to the Chinese market... since you can read all 5G data... hint hint hint
","Jan 07, 2019 11:20AM ET"
2643,"An amazing lie presented as hope.... The US want full access to the market... pixy dust... https://www.cnbc.com/amp/2019/01/07/us-china-trade-beijing-says-both-sides-expressed-will-to-make-deal.html
","Jan 07, 2019 11:14AM ET"
2644,"Dow jones looks good 23532 to 23000 target 25000 support at 22200. Time frame 4 to 6 months
","Jan 07, 2019 11:13AM ET"
2645,"Found the pumper an article “US-China trade war: Beijing says both sides have expressed a desire to hammer out a deal” deperate move by China State media...
","Jan 07, 2019 11:10AM ET"
2646,"Because the fed reserve has so much power good is bad and bad is good now lol. Crazy town.
","Jan 07, 2019 10:35AM ET"
2647,"Wow that was wild 30 mins super wild
","Jan 07, 2019 10:08AM ET"
2648,"Dow intraday long - close above 23627. Short - close below 23312
","Jan 07, 2019 9:48AM ET"
2649,"China is a super power as trump has to let him down by sending there corrospondent to china china has got upper hand and will dispoint us over taks
","Jan 07, 2019 6:48AM ET"
2650,"DJI will take Support near 23000 and will rise min 1000 points in 2days
","Jan 06, 2019 10:09PM ET"
2651,"wahtt
","Jan 06, 2019 8:02PM ET"
2652,"sell the Rally
","Jan 06, 2019 6:24PM ET"
2653,"https://www.tradingview.com/x/yJq4GCwO/
","Jan 06, 2019 6:11PM ET"
2654,"us30 will decrease?
","Jan 06, 2019 2:48PM ET"
2655,"when open
","Jan 06, 2019 2:47PM ET"
2656,"when open
","Jan 06, 2019 2:47PM ET"
2657,"weekend Dow surged again...23490
","Jan 06, 2019 6:53AM ET"
2658,"the dow value should be 18000 in real world. but it is an simulation created by qe of fed.
","Jan 06, 2019 3:41AM ET"
2659,"WHO decides the fed rate hikes, FOMC or powell? can powell dictate  a fed rate to fomc? I smell market manuplation….
","Jan 05, 2019 4:18PM ET"
2660,"Build the wall
","Jan 05, 2019 3:49PM ET"
2661,"Any updating from shutdown negotiation.
","Jan 05, 2019 2:18PM ET"
2662,"Set4Life,  Trump, is living in your head rent free! Dow up 746 points hope you had a stoploss!  What happen to your market collapse?
","Jan 05, 2019 10:32AM ET"
2663,"Trump tweets...-ve sentiment again
","Jan 05, 2019 9:56AM ET"
2664,"right now on ig app. weekend Dow is at 255xx :-?
","Jan 05, 2019 9:30AM ET"
2665,"Will go 1200 down in next few days
","Jan 05, 2019 9:05AM ET"
2666,"does anyone think there may be a gap on the open 23:00 GMT sunday night ?. and which way ?
","Jan 05, 2019 6:58AM ET"
2667,"US is backing up their Stock Index Price.I think that would not be long.Price is not be lie.
","Jan 04, 2019 8:58PM ET"
2668,"I think the rise of US and Europe price are not standing long.Because they are facing with China.
","Jan 04, 2019 8:51PM ET"
2669,"Wave 4-  up and down for some time. The top vi have seen i dag... and then- down to 20000
","Jan 04, 2019 6:51PM ET"
2670,"Seems like the democrats is with the Fed.
","Jan 04, 2019 6:19PM ET"
2671,"Eventually will down next week Ithink will downn500 point from yesterday close mean more or less 1200 in next few days
","Jan 04, 2019 5:14PM ET"
2672,"Heading 30,000 then 50,000 don't get played with the crash collapse psyop.
","Jan 04, 2019 5:12PM ET"
2673,"Talking is everything. Especially when it's done by someone who has the power to influence the market using only words. The past couple months have been evidence of that.
","Jan 04, 2019 4:46PM ET"
2674,"lol. lets lock in that green with a red clock baby. lol.just shows how little faith they them self's have in there work.
","Jan 04, 2019 4:36PM ET"
2675,"Manipulation 1000% lol
","Jan 04, 2019 3:49PM ET"
2676,"it's gonna go down next week..dow fails to break 23400 res level with volume
","Jan 04, 2019 3:41PM ET"
2677,"trump dont want dow to decline, exerts pressure on powell. this is why powell talked today.
","Jan 04, 2019 3:29PM ET"
2678,"Volume...
","Jan 04, 2019 3:25PM ET"
2679,"Retailers going for the crumbs now.
","Jan 04, 2019 3:23PM ET"
2680,"Take refuge in gold
","Jan 04, 2019 3:19PM ET"
2681,"The sharks have replaced the investors in the market
","Jan 04, 2019 3:17PM ET"
2682,"Another low volume day lol.
","Jan 04, 2019 3:06PM ET"
2683,"getty up........enjoy the ride
","Jan 04, 2019 3:03PM ET"
2684,"24500 with china deal would be fantastic to short
","Jan 04, 2019 3:03PM ET"
2685,"How the FED will be able to start the money printing machine with this stagering debt when the next market crash happen and the big banke start begging for money.
","Jan 04, 2019 2:47PM ET"
2686,"Where's the Volume? There's obviously a severe lack of liquidity in the Stock Markets to go up and down like this. These roller coaster intra-day and intra-week moves are going to destroy whatever investor confidence might be left in the proper functioning...Show more
","Jan 04, 2019 2:45PM ET"
2687,"The US will soon have an unsustaneble debt that cost 660 bilion a year only in interest and it is only the federal debt.
","Jan 04, 2019 2:41PM ET"
2688,"(-:
","Jan 04, 2019 2:34PM ET"
2689,"The market is unstable, we now enter ito a day trading market. By tobay, sell tomorrow, nomore long term strategy. The house of card wil crumble soon.
","Jan 04, 2019 2:34PM ET"
2690,"hai se sell 23/385
","Jan 04, 2019 2:22PM ET"
2691,"just delaying the inevitable because if the economy is so good as they say, they will increase the interest rates, right?
","Jan 04, 2019 2:01PM ET"
2692,"let s see what will bring these last 2 hours till Bell closing market, ???!!!!!
","Jan 04, 2019 2:00PM ET"
2693,"i expect to see 23250 again, then a bit up.
","Jan 04, 2019 1:59PM ET"
2694,"Fake market award winner.
","Jan 04, 2019 1:56PM ET"
2695,"sell this rally.
","Jan 04, 2019 1:55PM ET"
2696,"Also, the dovishness out of the Fed speaks volumes. They know the truth, they see all the real data. The everything bubble has popped and they are getting desperate with their word pumps.
","Jan 04, 2019 1:54PM ET"
2697,"Almost all of the December jobs growth was concentrated in the 55+ age range with prime working age adults actually seeing a decrease. So an increase in jobs for people nearing or past retirement age is a good thing? Or are older workers being forced back ...Show more
","Jan 04, 2019 1:51PM ET"
2698,"economic calendar witness the weaknes all économies, and the unemployment rate is the cleareer indicator
","Jan 04, 2019 1:48PM ET"
2699,"today's volume is too low like yesterday. a new trend begins and ends with high volumes. intermediate sessions must not have high volumes. next week we can see a high volume, and that day will show us the direction of the new trend.
","Jan 04, 2019 1:48PM ET"
2700,"Wouldn't Monday's meeting with China push it up a little more? I would expect to see another crash after that though, agreed AMD22
","Jan 04, 2019 1:42PM ET"
2701,"it s the best moment for sell
","Jan 04, 2019 1:39PM ET"
2702,"Sell
","Jan 04, 2019 1:37PM ET"
2703,"next monthly target 21000
","Jan 04, 2019 1:33PM ET"
2704,"be ready for similar ammount downside soon
","Jan 04, 2019 1:31PM ET"
2705,"as the volume is dying, last 150 points has been moved up by retailers.
","Jan 04, 2019 1:29PM ET"
2706,"this is all fomo
","Jan 04, 2019 1:25PM ET"
2707,"Sellllllllllll
","Jan 04, 2019 1:14PM ET"
2708,"After 1 hours its 23000
","Jan 04, 2019 1:14PM ET"
2709,"volatility is just amazing. didn't expect it to make it so fast.
","Jan 04, 2019 1:05PM ET"
2710,"+800 points reached. 50 more hahaha
","Jan 04, 2019 1:03PM ET"
2711,"dow is about to complete its 4th corrective wave downward target 21000.
","Jan 04, 2019 1:03PM ET"
2712,"Sell dow tgt 22800
","Jan 04, 2019 12:55PM ET"
2713,"make it a 1000 points day. Who cares. This market is rigged to the oblivion. Sheeps will get sloghtered on the way down again. No one is their right might would buy stocks now.
","Jan 04, 2019 12:53PM ET"
2714,"slowly??? Market descended using the staircase (Slowly and steadily). Now it is going up with an elevator. Hahaha
","Jan 04, 2019 12:47PM ET"
2715,"stock market will stay positive, and slowly moves up, until Powell turns hawkish again, finally learnt how to speak
","Jan 04, 2019 12:44PM ET"
2716,"re: recent discussion:I have limited experience in markets, but the behavior as of late goes against pretty much everything I know and have learned that that would indicate a stable/strong/bull market...is this pattern of the past two normal? if so, apprec...Show more
","Jan 04, 2019 12:43PM ET"
2717,"Fed has given the direction. Next week will be sweet.
","Jan 04, 2019 12:42PM ET"
2718,"Dow needs to do 150 more to close at 850
","Jan 04, 2019 12:40PM ET"
2719,"Oooo 300 more points to 1000... possibly 1200 ;)
","Jan 04, 2019 12:27PM ET"
2720,"Trump train 2020 dow 30000
","Jan 04, 2019 12:17PM ET"
2721,"If the US economy is in GREAT SHAPE , with a blo wout 312k NFP ( WAY above of expectations ) , why does powell need to borrow words from famous yellen dictionary ? We will do what it takes,, use all the tools,, blah blah,, whats under the hood ? Guess we w...Show more
","Jan 04, 2019 12:07PM ET"
2722,"Max up side in dow 24600-700 and Downlode open to 20k-19k current month.
","Jan 04, 2019 11:58AM ET"
2723,"short dow near 24500
","Jan 04, 2019 11:45AM ET"
2724,"will be some selling here and then another uptick
","Jan 04, 2019 11:41AM ET"
2725,"25k giddy up
","Jan 04, 2019 11:38AM ET"
2726,"Just as I expected .... a booming economy and what a ridiculous reaction yesterday.
","Jan 04, 2019 11:32AM ET"
